,female,other_race,notchi_school,notchi_home,uni_public,acceptance_rate,music,male,caucasian,african_american,latino,asian,chi_school,chi_home,financial_aid,median_income
192,0,0,1,1,1,79.0,1,1,1,0,0,0,0,0,0.0,50580.0
193,0,0,0,0,1,60.0,0,1,0,0,0,1,1,1,10.0,49517.0
194,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,3.0,111059.0
195,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,6.5,56989.0
196,1,0,1,1,0,70.0,1,0,0,0,0,1,0,0,0.0,78612.0
197,1,0,0,0,0,8.0,0,0,0,0,0,1,1,1,0.0,94715.0
198,0,0,1,1,0,,0,1,0,0,0,1,0,0,0.0,111059.0
199,1,1,1,1,0,70.0,1,0,0,0,0,0,0,0,0.0,58804.0
200,0,0,1,1,0,14.0,0,1,1,0,0,0,0,0,0.0,89741.0
201,0,0,1,1,0,72.3,0,1,1,0,0,0,0,0,0.0,82996.0
202,1,0,1,1,0,9.0,0,0,1,0,0,0,0,0,0.0,85155.0
203,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,132754.0
204,1,0,1,1,1,60.0,1,0,0,0,0,1,0,0,0.0,55024.0
205,1,0,1,1,0,80.0,1,0,1,0,0,0,0,0,0.0,85155.0
206,1,0,1,1,0,49.0,1,0,1,0,0,0,0,0,0.0,79954.0
207,1,0,1,1,0,,0,0,0,0,0,1,0,0,0.0,171585.0
208,1,0,1,1,1,89.0,1,0,1,0,0,0,0,0,3.0,81650.0
209,1,0,1,1,0,,0,0,0,0,0,1,0,0,0.0,101810.0
210,0,0,1,1,0,,0,1,1,0,0,0,0,0,8.0,87787.0
211,1,1,0,0,1,75.0,0,0,0,0,0,0,1,1,7.0,37123.0
212,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,100879.0
213,1,1,1,1,0,9.0,0,0,1,0,0,0,0,0,0.0,90566.0
214,1,0,1,1,0,70.0,1,0,1,0,0,0,0,0,0.0,90298.0
215,0,0,1,1,0,8.0,1,1,1,0,0,0,0,0,0.0,101810.0
216,1,1,1,1,0,17.0,1,0,0,1,0,0,0,0,3.0,89822.0
217,1,0,1,1,0,11.0,1,0,1,0,0,0,0,0,0.0,90566.0
218,0,0,1,1,0,9.0,0,1,1,0,0,0,0,0,0.0,89399.0
219,0,0,1,1,0,7.2,1,1,1,0,0,0,0,0,0.0,68760.0
220,0,0,1,1,1,84.0,0,1,1,0,0,0,0,0,0.0,87216.0
221,1,0,1,1,1,60.0,0,0,0,0,0,1,0,0,0.0,78612.0
222,0,0,1,1,0,70.0,1,1,0,0,0,1,0,0,0.0,89822.0
223,1,0,1,1,0,5.0,0,0,1,0,0,0,0,0,0.0,68760.0
224,1,0,1,1,1,79.0,0,0,1,0,0,0,0,0,0.0,87216.0
225,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,0.0,70574.0
226,0,0,1,1,0,13.0,1,1,1,0,0,0,0,0,8.5,132754.0
227,1,0,1,1,0,67.0,1,0,1,0,0,0,0,0,0.0,91954.0
228,0,0,1,1,1,79.0,1,1,1,0,0,0,0,0,0.0,89093.0
229,1,0,1,1,1,60.0,1,0,1,0,0,0,0,0,0.0,132754.0
230,1,0,1,1,1,60.0,1,0,1,0,0,0,0,0,0.0,116006.0
